exp10,exp15,exp20,exp25,exp30
[19  4 16 17  8],[19  4 16 15  8],[19  4 18 15  8],[17  4 16 16  1],[19  4 18 15  8]
[19  2 16 17  8],[19  4 16 15  8],[19  4 18 15  8],[17  2 18 15  8],[19  4 16 15  8]
[19  2 16 17  8],[20  4 16 15  8],[19  4 18 15  8],[17  2 16 18  1],[20  4 16 15  1]
[19  2 16 17  8],[20  2 16 15  8],[20  5 16 13  1],[18  2 16 18  1],[19  2 16 16  1]
[20  2 16 16  8],[20  2 16 15  8],[20  2 16 13  1],[18  2 16 18  1],[19  2 16 16  1]
[20  2 16 16  8],[20  1 16 15  8],[20  2 16 13  1],[16  1 16 15  8],[17  2 16 15  1]
[20  2 16 16  8],[20  1 16 15  8],[20  1 16 16  1],[17  1 16 16  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
[20  1 16 17  8],[20  1 16 15  8],[20  1 16 16  1],[20  1 16 18  1],[20  1 16 17  1]
