exp10,exp15,exp20,exp25,exp30
1.8581948,1.8581948,1.8788997,1.8712215,1.8788997
1.7986467,1.8581948,1.8788997,1.8286515,1.8581948
1.7986467,1.8205538,1.8788997,1.7962817,1.8205538
1.7986467,1.780557,1.8324493,1.7925677,1.7986467
1.780557,1.780557,1.780557,1.7925677,1.7986467
1.780557,1.7461747,1.780557,1.7872769,1.7962817
1.780557,1.7461747,1.7461747,1.7656635,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
1.7461747,1.7461747,1.7461747,1.7461747,1.7461747
